method_id,file,start_line,kind,name,signature,target,language,incoming_internal_edges_count,incoming_dynamic_edges_count,confidence,risk_tags,reason
796ac98fe1211f51ea9ebff97eb7e65b40f5e2a9,backend/alembic/versions/017_add_rbac_tables.py,154,function,downgrade,def downgrade() -> None:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
b488744fa731b181f836d1b400fd02c1f936535e,backend/alembic/versions/018_add_traceability_rules.py,19,function,_table_exists,def _table_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
c4d6d96172748213ca34aae086e749955d571c22,backend/alembic/versions/018_add_traceability_rules.py,26,function,_index_exists,def _index_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
eb9ffcfb29be9d91bbc996f30c96569ac3ebf617,backend/alembic/versions/018_add_traceability_rules.py,34,function,_ensure_index,def _ensure_index(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
b59266db1ab4508fa52331e9f0afdfc654717d98,backend/alembic/versions/018_add_traceability_rules.py,40,function,upgrade,def upgrade():,prod,Python,0,0,LOW,,unreachable_from_entrypoints
5ddf386cf2cf4ea0942c5b0ae126976b6001989e,backend/alembic/versions/018_add_traceability_rules.py,99,function,downgrade,def downgrade():,prod,Python,0,0,LOW,,unreachable_from_entrypoints
51dd462d6e1e82a4ec205662a03fb30631a2ee7e,backend/alembic/versions/019_add_capacity_health_cfd_tables.py,23,function,_table_exists,def _table_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
1457da2c9df1ff13923ff288d8c40417f3fb6506,backend/alembic/versions/019_add_capacity_health_cfd_tables.py,30,function,_index_exists,def _index_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
0b570a6157d10940d5898ce7436f2abebef4bb1e,backend/alembic/versions/019_add_capacity_health_cfd_tables.py,38,function,_ensure_index,def _ensure_index(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
41dbb6c866c7c08a8594fda07b957b153b46558d,backend/alembic/versions/019_add_capacity_health_cfd_tables.py,44,function,upgrade,def upgrade():,prod,Python,0,0,LOW,,unreachable_from_entrypoints
bb0e5b53a968621136a032f75fe17262aa0a26dc,backend/alembic/versions/019_add_capacity_health_cfd_tables.py,142,function,downgrade,def downgrade():,prod,Python,0,0,LOW,,unreachable_from_entrypoints
1b791cf4ca59c2a9ee4700bbbb6f6745326e5bd5,backend/alembic/versions/020_add_quality_metrics_tables.py,18,function,_table_exists,def _table_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
a613ae7f90d0a816a1f2af4ce428a3ed008d43e2,backend/alembic/versions/020_add_quality_metrics_tables.py,25,function,upgrade,def upgrade() -> None:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
7e26a24893e9bbb73312d1955d1e65c24a8fe654,backend/alembic/versions/020_add_quality_metrics_tables.py,101,function,downgrade,def downgrade() -> None:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
25b85aa07a67e063153b38eafe6431f458802fcf,backend/alembic/versions/021_add_coverage_analytics_tables.py,18,function,_table_exists,def _table_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
3e373fe2ca425872768f31356f1c6b5f2cf33a2c,backend/alembic/versions/021_add_coverage_analytics_tables.py,25,function,upgrade,def upgrade() -> None:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
5f37a37c6fc9c5610e30d43f07cd02791a41479a,backend/alembic/versions/021_add_coverage_analytics_tables.py,124,function,downgrade,def downgrade() -> None:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
e9cbd2e8b8155334b14ead74032cabf4f2f496b3,backend/alembic/versions/022_add_filter_indexes.py,21,function,_table_exists,def _table_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
027792639c750453135bbe25cd5a749c357ad8a2,backend/alembic/versions/022_add_filter_indexes.py,28,function,_index_exists,def _index_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
4c387128c5c042b4fca21aca31484b76bf6080b5,backend/alembic/versions/022_add_filter_indexes.py,79,function,upgrade,def upgrade() -> None:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
9b385d0726da2471240bf29ddc9b33aa5d9ad780,backend/alembic/versions/022_add_filter_indexes.py,91,function,downgrade,def downgrade() -> None:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
077625b726fa235c5cc3c066aa62e5197a9802ad,backend/alembic/versions/023_add_composite_performance_indexes.py,20,function,_table_exists,def _table_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
44389b5895375a6a7434608243119f0c863c7a82,backend/alembic/versions/023_add_composite_performance_indexes.py,27,function,_index_exists,def _index_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
6549b54d7efa11de6b4f3f4cf686d6dcbbc01816,backend/alembic/versions/023_add_composite_performance_indexes.py,56,function,upgrade,def upgrade() -> None:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
7e4bb2156eb105e2502a989d03a999ae9677ed17,backend/alembic/versions/023_add_composite_performance_indexes.py,68,function,downgrade,def downgrade() -> None:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
72e95534970c9383533cca758e07f9059efed6b1,backend/alembic/versions/024_add_rule_scheduling_columns.py,26,function,_table_exists,def _table_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
bc00141afa542f138541c3f40065fe706c992e0b,backend/alembic/versions/024_add_rule_scheduling_columns.py,33,function,_column_exists,def _column_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
b7cdd825d71945116baadd6b425ea0d16faaa730,backend/alembic/versions/024_add_rule_scheduling_columns.py,41,function,_index_exists,def _index_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
83e24567e6e06a89b6532c852220d3363e67007b,backend/alembic/versions/024_add_rule_scheduling_columns.py,49,function,upgrade,def upgrade():,prod,Python,0,0,LOW,,unreachable_from_entrypoints
ad00ac8b419167133089ac10d4cc9e30c6708bf5,backend/alembic/versions/024_add_rule_scheduling_columns.py,109,function,downgrade,def downgrade():,prod,Python,0,0,LOW,,unreachable_from_entrypoints
6339fbffc9d1927aa1c027116f7a83e7a615bb71,backend/alembic/versions/025_add_oauth_fields.py,26,function,_table_exists,def _table_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
1f4e75d59838beab13f36abea5df442a04aea2ad,backend/alembic/versions/025_add_oauth_fields.py,33,function,_column_exists,def _column_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
0acc63e160d1292477716da935988720afe7896c,backend/alembic/versions/025_add_oauth_fields.py,41,function,_index_exists,def _index_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
55d43a516d1fce1a0079b08927c65c86c39549ad,backend/alembic/versions/025_add_oauth_fields.py,49,function,upgrade,def upgrade():,prod,Python,0,0,LOW,,unreachable_from_entrypoints
ae776aa6149079631b15b8252e28ea318ea1d56b,backend/alembic/versions/025_add_oauth_fields.py,107,function,downgrade,def downgrade():,prod,Python,0,0,LOW,,unreachable_from_entrypoints
88d8566faa75342b396f6400e8dd3961ed88b2f8,backend/alembic/versions/026_add_mfa_fields.py,23,function,_table_exists,def _table_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
87e9f2c143d043af3d8c2b7b1cb23e2d2da98aa6,backend/alembic/versions/026_add_mfa_fields.py,30,function,_column_exists,def _column_exists(table_name:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
6aa1d7e05cb42bb966851e57897fd568a2a976d6,backend/alembic/versions/026_add_mfa_fields.py,38,function,upgrade,def upgrade():,prod,Python,0,0,LOW,,unreachable_from_entrypoints
16652bfbc3f814171cec96b9599f512d1814032e,backend/alembic/versions/026_add_mfa_fields.py,64,function,downgrade,def downgrade():,prod,Python,0,0,LOW,,unreachable_from_entrypoints
0444d2af42b4c5b5719ee297f436190365eca71a,backend/app/api/api_v1/endpoints/analytics.py,46,function,get_project_velocity,async def get_project_velocity( project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
28d5679c8f9b724d04da10a071c565aec0d06a20,backend/app/api/api_v1/endpoints/analytics.py,147,function,get_dora_metrics,async def get_dora_metrics( project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
8429af376398de9d9c0475e6bbd28722bd8c01a1,backend/app/api/api_v1/endpoints/analytics.py,220,function,project_budget_hours,async def project_budget_hours( project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
148138eeade9caa2c15a4a53b57533e2841453cb,backend/app/api/api_v1/endpoints/analytics.py,323,function,project_value_metrics,async def project_value_metrics(project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
986cac52e8ae7d769b57db93e311917b33013459,backend/app/api/api_v1/endpoints/analytics.py,407,function,sprint_wip_status,async def sprint_wip_status(sprint_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
31a429f9bc4372efb7e2e21943fa089261c88108,backend/app/api/api_v1/endpoints/analytics.py,482,function,sprint_capacity,async def sprint_capacity(sprint_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
65ab2df19586f91c2ea3ced140ae9068fd0dc56f,backend/app/api/api_v1/endpoints/analytics.py,614,function,project_sprints,async def project_sprints( project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
de35382afa96628a6b4314524d8f868be1801fb0,backend/app/api/api_v1/endpoints/analytics.py,707,function,sprint_burndown,async def sprint_burndown(sprint_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
b9d225ca2aeda70c255e347176b8fabc90c76778,backend/app/api/api_v1/endpoints/analytics.py,718,function,sprint_quality,async def sprint_quality(sprint_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
5c8262e25acea7a91bbdabe520d71f4157df0328,backend/app/api/api_v1/endpoints/analytics.py,766,function,get_team_members_activity,async def get_team_members_activity(project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
a73c886a6a431ba689b59f570faa1d32e2a48231,backend/app/api/api_v1/endpoints/analytics.py,851,function,get_project_team_health,async def get_project_team_health(project_id:,prod,Python,3,0,LOW,,unreachable_from_entrypoints
b26db4ff696fd36b20ea7eaf57ec4e1f8e8bffe5,backend/app/api/api_v1/endpoints/analytics.py,965,function,project_burndown,async def project_burndown( project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
052c8765d4515ffc6f156858217a55b576853cbd,backend/app/api/api_v1/endpoints/analytics.py,1007,function,identify_project_risks,async def identify_project_risks(project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
644a6924263940ae7446da5b9cdf98a5c3fac932,backend/app/api/api_v1/endpoints/analytics.py,1133,function,forecast_completion,async def forecast_completion(project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
2851c14801ded3a42de592c216fac180144e7123,backend/app/api/api_v1/endpoints/analytics.py,1166,function,test_trend,async def test_trend( project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
779417419291281a4d07e2ffb2acac39d9e48dd8,backend/app/api/api_v1/endpoints/analytics.py,1205,function,coverage_trend,async def coverage_trend( project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
f7b0c563638136cdca092bc6bbd3d7adbfff904d,backend/app/api/api_v1/endpoints/analytics.py,1241,function,project_pr_forecast,async def project_pr_forecast(project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
7bcfa56534b0f375f0804ed75e0a1f1a9376c6c3,backend/app/api/api_v1/endpoints/analytics_simple.py,10,function,simple_budget_hours,async def simple_budget_hours(project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
f5916afdfa1e77da9ad6e23834c8a85ae7a41184,backend/app/api/api_v1/endpoints/auth.py,36,function,login,async def login( request:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
4ef53b31dfea22f868c73fd62b2ad949a7f47b23,backend/app/api/api_v1/endpoints/auth.py,87,function,register,async def register( user_in:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
d3e2a99618695318ae40120235ae2718bbeabcd3,backend/app/api/api_v1/endpoints/auth.py,138,function,get_available_providers,async def get_available_providers() -> OAuth2ProvidersResponse:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
a38211dd9e177f1f9f5a5feb722dddc2a363acd5,backend/app/api/api_v1/endpoints/auth.py,149,function,google_oauth_start,async def google_oauth_start( redirect_uri:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
8432221420db277f2a4e312d473c6018b60a295d,backend/app/api/api_v1/endpoints/auth.py,171,function,google_oauth_callback,async def google_oauth_callback( code:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
ada76eb15d1ffdbd986a55cca10eacf0b71c02b6,backend/app/api/api_v1/endpoints/auth.py,215,function,microsoft_oauth_start,async def microsoft_oauth_start( redirect_uri:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
0b1abc729ab3eabb7f488dab16131bdc148f6556,backend/app/api/api_v1/endpoints/auth.py,237,function,microsoft_oauth_callback,async def microsoft_oauth_callback( code:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
f850b27adfd76518fb0ed8e3f83fd5ad5f4c31d1,backend/app/api/api_v1/endpoints/auth.py,280,function,_process_oauth_login,async def _process_oauth_login(db:,prod,Python,2,0,LOW,,unreachable_from_entrypoints
da79ecee03c3d410f12e1aa3bd4faa0b21501172,backend/app/api/api_v1/endpoints/auth.py,364,function,_generate_username_from_email,def _generate_username_from_email(email:,prod,Python,1,0,LOW,,unreachable_from_entrypoints
5007f80dcd80daa451d8626f171b52d538ebbbb4,backend/app/api/api_v1/endpoints/auth.py,411,function,get_mfa_status,async def get_mfa_status( current_user:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
036a6308d805ec2e9bbc5c227cb7c83cacac3966,backend/app/api/api_v1/endpoints/auth.py,426,function,initiate_mfa_setup,async def initiate_mfa_setup( request:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
877172977cfc1599f2a83fb570637088d8c7122a,backend/app/api/api_v1/endpoints/auth.py,465,function,verify_mfa_setup,async def verify_mfa_setup( request:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
83dff7521d4f84cf1990b0af1468e9bc4c68690b,backend/app/api/api_v1/endpoints/auth.py,511,function,disable_mfa,async def disable_mfa( request:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
c9ab2e56891f6f5cd309a625a4f85e49de222852,backend/app/api/api_v1/endpoints/auth.py,561,function,regenerate_backup_codes,async def regenerate_backup_codes( request:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
9b7857332ea9a01ce7188e2ca652bac5ae16ff94,backend/app/api/api_v1/endpoints/auth.py,599,function,verify_mfa_login,async def verify_mfa_login( request:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
236f65126757904692d9ac905c144bcd74fe2429,backend/app/api/api_v1/endpoints/capacity.py,52,function,list_capacity_settings,async def list_capacity_settings( project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
a0c837498dd8ce3663d8c296930c2b3801618d86,backend/app/api/api_v1/endpoints/capacity.py,116,function,get_capacity_setting,async def get_capacity_setting( setting_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
3e15ae798b6a76d687b7481cbd0c455ddbf9520e,backend/app/api/api_v1/endpoints/capacity.py,134,function,create_capacity_setting,async def create_capacity_setting( data:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
0dbc275b31109557b11ab33d87fdb091d17fb234,backend/app/api/api_v1/endpoints/capacity.py,190,function,update_capacity_setting,async def update_capacity_setting( setting_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
7838d376286aa4c6164834acd87905bc028d79eb,backend/app/api/api_v1/endpoints/capacity.py,221,function,delete_capacity_setting,async def delete_capacity_setting( setting_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
598b0a05d36444528e1b83e2e25004935576093d,backend/app/api/api_v1/endpoints/capacity.py,250,function,get_team_capacity_summary,async def get_team_capacity_summary( project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
2242c9f5f49a9866d15164a2ecb61da44326a55e,backend/app/api/api_v1/endpoints/capacity.py,330,function,get_assignee_capacity,async def get_assignee_capacity( db:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
e498ad296a68f5c14548e1e6bb5bcedf80c5a06b,backend/app/api/api_v1/endpoints/capacity.py,384,function,list_health_checks,async def list_health_checks( project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
6d139e8642c12de3b8d1dd0c856966b076afeff0,backend/app/api/api_v1/endpoints/capacity.py,426,function,create_health_check,async def create_health_check( data:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
17f8a063ed5a0125d63beefc8cbb88291896ec40,backend/app/api/api_v1/endpoints/capacity.py,484,function,get_health_summary,async def get_health_summary( project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
1d972a691ef146e94c1fecfd524bf5f2ebf1ee03,backend/app/api/api_v1/endpoints/capacity.py,548,function,get_cfd_data,async def get_cfd_data( project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
66fc6c4829773143f2e768e4991a858e099b33ae,backend/app/api/api_v1/endpoints/capacity.py,589,function,create_cfd_snapshot,async def create_cfd_snapshot( project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
fa55171e19abdc676feb583e687059a34ae08a8c,backend/app/api/api_v1/endpoints/capacity.py,679,function,get_flow_metrics,async def get_flow_metrics( project_id:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
565b294de7c64dba48590f6927200088fb03d1fe,backend/app/api/api_v1/endpoints/confluence.py,23,function,_call_confluence,"async def _call_confluence(func, *args, **kwargs):",prod,Python,16,0,LOW,,unreachable_from_entrypoints
bcc0cc40541208dae047c325b8c8c61539fa7664,backend/app/api/api_v1/endpoints/confluence.py,29,function,connect_confluence,async def connect_confluence( base_url:,prod,Python,0,0,LOW,,unreachable_from_entrypoints
e96f78b9d313fb2f5db10d048284e7e89dc9777b,backend/app/api/api_v1/endpoints/confluence.py,65,function,status,async def status():,prod,Python,0,0,LOW,,unreachable_from_entrypoints
